,NL_Confirmed,NL_Deaths,NL_Recovered,NL_Active,Date
414,7,0,7,0,2020-06-06 00:00:00+00:00
415,21,1,15,5,2020-06-06 00:00:00+00:00
416,77,15,61,1,2020-06-06 00:00:00+00:00
417,47574,6013,0,41561,2020-06-07 00:00:00+00:00
418,101,3,98,0,2020-06-07 00:00:00+00:00
419,7,0,7,0,2020-06-07 00:00:00+00:00
420,21,1,15,5,2020-06-07 00:00:00+00:00
421,77,15,61,1,2020-06-07 00:00:00+00:00
422,47739,6016,0,41723,2020-06-08 00:00:00+00:00
423,101,3,98,0,2020-06-08 00:00:00+00:00
424,7,0,7,0,2020-06-08 00:00:00+00:00
425,21,1,15,5,2020-06-08 00:00:00+00:00
426,77,15,61,1,2020-06-08 00:00:00+00:00
427,47903,6031,0,41872,2020-06-09 00:00:00+00:00
428,101,3,98,0,2020-06-09 00:00:00+00:00
429,7,0,7,0,2020-06-09 00:00:00+00:00
430,21,1,15,5,2020-06-09 00:00:00+00:00
431,77,15,61,1,2020-06-09 00:00:00+00:00
432,48087,6042,0,42045,2020-06-10 00:00:00+00:00
433,101,3,98,0,2020-06-10 00:00:00+00:00
434,7,0,7,0,2020-06-10 00:00:00+00:00
435,22,1,15,6,2020-06-10 00:00:00+00:00
436,77,15,61,1,2020-06-10 00:00:00+00:00
437,48251,6044,0,42207,2020-06-11 00:00:00+00:00
438,101,3,98,0,2020-06-11 00:00:00+00:00
439,7,0,7,0,2020-06-11 00:00:00+00:00
440,22,1,15,6,2020-06-11 00:00:00+00:00
441,77,15,61,1,2020-06-11 00:00:00+00:00
442,48461,6053,0,42408,2020-06-12 00:00:00+00:00
443,101,3,98,0,2020-06-12 00:00:00+00:00
444,7,0,7,0,2020-06-12 00:00:00+00:00
445,22,1,15,6,2020-06-12 00:00:00+00:00
446,77,15,61,1,2020-06-12 00:00:00+00:00
447,48640,6057,0,42583,2020-06-13 00:00:00+00:00
448,101,3,98,0,2020-06-13 00:00:00+00:00
449,7,0,7,0,2020-06-13 00:00:00+00:00
450,22,1,15,6,2020-06-13 00:00:00+00:00
451,77,15,61,1,2020-06-13 00:00:00+00:00
452,48783,6059,0,42724,2020-06-14 00:00:00+00:00
453,101,3,98,0,2020-06-14 00:00:00+00:00
454,7,0,7,0,2020-06-14 00:00:00+00:00
455,22,1,15,6,2020-06-14 00:00:00+00:00
456,77,15,61,1,2020-06-14 00:00:00+00:00
457,48948,6065,0,42883,2020-06-15 00:00:00+00:00
458,101,3,98,0,2020-06-15 00:00:00+00:00
459,7,0,7,0,2020-06-15 00:00:00+00:00
460,22,1,19,2,2020-06-15 00:00:00+00:00
461,77,15,62,0,2020-06-15 00:00:00+00:00
462,49087,6070,0,43017,2020-06-16 00:00:00+00:00
463,101,3,98,0,2020-06-16 00:00:00+00:00
464,7,0,7,0,2020-06-16 00:00:00+00:00
465,23,1,19,3,2020-06-16 00:00:00+00:00
466,77,15,62,0,2020-06-16 00:00:00+00:00
467,49204,6074,0,43130,2020-06-17 00:00:00+00:00
