,GB_Confirmed,GB_Deaths,GB_Recovered,GB_Active,Date
427,133,0,129,4,2020-04-23 00:00:00+00:00
428,307,16,221,70,2020-04-23 00:00:00+00:00
429,11,0,2,9,2020-04-23 00:00:00+00:00
430,11,1,4,6,2020-04-23 00:00:00+00:00
431,143464,22792,0,120672,2020-04-24 00:00:00+00:00
432,3,0,1,2,2020-04-24 00:00:00+00:00
433,99,5,39,55,2020-04-24 00:00:00+00:00
434,5,1,3,1,2020-04-24 00:00:00+00:00
435,70,1,8,61,2020-04-24 00:00:00+00:00
436,523,34,295,194,2020-04-24 00:00:00+00:00
437,13,0,11,2,2020-04-24 00:00:00+00:00
438,133,0,131,2,2020-04-24 00:00:00+00:00
439,308,18,230,60,2020-04-24 00:00:00+00:00
440,11,1,2,8,2020-04-24 00:00:00+00:00
441,11,1,4,6,2020-04-24 00:00:00+00:00
442,148377,23635,0,124742,2020-04-25 00:00:00+00:00
443,3,0,1,2,2020-04-25 00:00:00+00:00
444,109,5,39,65,2020-04-25 00:00:00+00:00
445,6,1,3,2,2020-04-25 00:00:00+00:00
446,70,1,8,61,2020-04-25 00:00:00+00:00
447,525,35,332,158,2020-04-25 00:00:00+00:00
448,13,0,11,2,2020-04-25 00:00:00+00:00
449,136,0,131,5,2020-04-25 00:00:00+00:00
450,308,18,243,47,2020-04-25 00:00:00+00:00
451,11,1,2,8,2020-04-25 00:00:00+00:00
452,11,1,4,6,2020-04-25 00:00:00+00:00
453,152840,24055,0,128785,2020-04-26 00:00:00+00:00
454,3,0,1,2,2020-04-26 00:00:00+00:00
455,109,5,39,65,2020-04-26 00:00:00+00:00
456,6,1,3,2,2020-04-26 00:00:00+00:00
457,70,1,8,61,2020-04-26 00:00:00+00:00
458,525,35,332,158,2020-04-26 00:00:00+00:00
459,13,0,11,2,2020-04-26 00:00:00+00:00
460,141,0,131,10,2020-04-26 00:00:00+00:00
461,308,18,247,43,2020-04-26 00:00:00+00:00
462,11,1,2,8,2020-04-26 00:00:00+00:00
463,11,1,4,6,2020-04-26 00:00:00+00:00
464,157149,24393,0,132756,2020-04-27 00:00:00+00:00
465,3,0,3,0,2020-04-27 00:00:00+00:00
