,CN_Confirmed,CN_Deaths,CN_Recovered,CN_Active,Date
279,32,0,0,32,2020-01-31 00:00:00+00:00
280,1,0,0,1,2020-01-31 00:00:00+00:00
281,17,0,0,17,2020-01-31 00:00:00+00:00
282,83,0,1,82,2020-01-31 00:00:00+00:00
283,538,0,14,524,2020-01-31 00:00:00+00:00
284,14,0,1,13,2020-01-31 00:00:00+00:00
285,48,0,1,47,2020-01-31 00:00:00+00:00
286,7,0,0,7,2020-01-31 00:00:00+00:00
287,21,0,0,21,2020-01-31 00:00:00+00:00
288,8,0,0,8,2020-01-31 00:00:00+00:00
289,87,0,0,87,2020-01-31 00:00:00+00:00
290,184,0,2,182,2020-01-31 00:00:00+00:00
291,135,1,9,125,2020-01-31 00:00:00+00:00
292,39,0,1,38,2020-01-31 00:00:00+00:00
293,237,0,3,234,2020-01-31 00:00:00+00:00
294,139,1,5,133,2020-01-31 00:00:00+00:00
295,211,0,1,210,2020-01-31 00:00:00+00:00
296,120,0,0,120,2020-01-31 00:00:00+00:00
297,29,0,0,29,2020-01-31 00:00:00+00:00
298,436,0,11,425,2020-01-31 00:00:00+00:00
299,87,0,2,85,2020-01-31 00:00:00+00:00
300,29,0,2,27,2020-01-31 00:00:00+00:00
301,52,1,1,50,2020-01-31 00:00:00+00:00
302,82,1,0,81,2020-01-31 00:00:00+00:00
303,59,2,0,57,2020-01-31 00:00:00+00:00
304,352,2,3,347,2020-01-31 00:00:00+00:00
305,12,0,0,12,2020-01-31 00:00:00+00:00
306,5806,204,141,5461,2020-01-31 00:00:00+00:00
307,332,0,2,330,2020-01-31 00:00:00+00:00
308,20,0,1,19,2020-01-31 00:00:00+00:00
309,168,0,5,163,2020-01-31 00:00:00+00:00
310,240,0,7,233,2020-01-31 00:00:00+00:00
311,96,1,0,95,2020-02-01 00:00:00+00:00
312,80,2,2,76,2020-02-01 00:00:00+00:00
313,422,2,3,417,2020-02-01 00:00:00+00:00
314,13,0,0,13,2020-02-01 00:00:00+00:00
315,7153,249,168,6736,2020-02-01 00:00:00+00:00
316,389,0,8,381,2020-02-01 00:00:00+00:00
